onset	duration	Experiment - Satz_B2	Serial_no	Code	Stimulus	Condition	Onset_time	response	response_time	Accuracy	Bildh	Arousal	EmoVal	Gebr	Metaph	Buchstaben	Wšrter	Similarity	NebensŠtze	Relative	Passiv	Komposita	Personen	Angaben	Konjunktive	analytF	Satzstellung
1,626	4	28SM	1	11	Ihm konnten nicht viele das Wasser reichen.	99	1626	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
6,666	4	28SM	2	22	Er achtete stets auf die Preise im Supermarkt.	99	6666	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
11,706	6	28SM	3	406	Geht er sorgsam mit Geld um?	4	11706	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
19,735	4	28SM	4	322	### ############## ### ##### ### ####	3	19735	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
26,769	4	28SM	5	344	##### ##### ### ### ##### #### ### ##### ############# ### ##########	3	26769	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
32,815	4	28SM	6	244	Meine Tante hat ein gutes Herz, sie kocht freiwillig fŸr Obdachlose.	2	32815	keine	0	keine	5,22	3,3	1	5,05	1,95	58	11	5,578947	1	0	0	1	2	1	0	0	0
37,849	4	28SM	7	217	Die Firma hat sich einen finanziell gut situierten Partner ausgesucht.	2	37849	keine	0	keine	2,72	4,1	1,1	5,05	2,32	61	10	5,789474	0	0	0	0	1	1	0	1	0
47,889	4	28SM	8	219	Die kleine Familie wollte ihren Hausbau grŸndlich planen.	2	47889	keine	0	keine	3,06	3,55	1,2	4,89	1,32	50	8	5,833333	0	0	0	1	1	1	0	1	0
56,935	4	28SM	9	101	Ach, was fŸr ein leichtes Leben hatten wir wŠhrend der Schulferien!	1	56935	keine	0	keine	4,5	1,95	-0,1	4,89	2,79	57	11	5,736842	0	0	0	1	1	1	0	0	1
62,971	4	28SM	10	104	Das war eine unglaublich oberflŠchliche Reaktion von ihr.	1	62971	keine	0	keine	2,67	4,05	1,4	2,74	4,95	50	8	3,315789	0	0	0	1	1	2	0	0	0
73,005	4	28SM	11	246	Nach dem MissverstŠndnis war Ella jetzt in einer komplizierten Situation.	2	73005	keine	0	keine	2,89	4,9	-0,9	5,58	1,68	64	10	5,894737	0	0	0	1	1	2	0	0	0
78,051	4	28SM	12	105	Das war heute eine bittere EnttŠuschung fŸr meinen Vater.	1	78051	keine	0	keine	3,67	4,85	1,7	4,26	4,74	49	9	6,105263	0	0	0	0	1	1	0	0	0
