onset	duration	Experiment - Satz_B1	Serial_no	Code	Stimulus	Condition	Onset_time	response	response_time	Accuracy	Bildh	Arousal	EmoVal	Gebr	Metaph	Buchstaben	WÌ¦rter	Similarity	NebensÌ_tze	Relative	Passiv	Komposita	Personen	Angaben	Konjunktive	analytF	Satzstellung
1,63	4	40BB	1	12	Immer wenn der Berg rief, stand er sehr frŸh auf.	99	1630	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
6,669	4	40BB	2	21	Tanja wŸnschte sich ein Pony zum Geburtstag.	99	6669	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
11,709	4	40BB	3	262	Dieser Mann ist echt hŸbsch.	2	11709	keine	0	keine	5	4	2	5,454545	1,181818	23	5	6,181818	0	0	1	0	2	1	0	0	0
16,749	4	40BB	4	201	Ach, was fŸr ein einfaches Leben hatten wir wŠhrend der Schulferien!	2	16749	keine	0	keine	4,33	2,2	0,2	4,63	1,37	58	11	5,736842	0	0	0	1	1	1	0	0	1
22,789	4	40BB	5	103	Das GesprŠch beim Finanzamt verlief glŸcklicherweise reibungslos.	1	22789	keine	0	keine	3,39	4,25	-0,7	4,26	2,53	59	7	6,210526	0	0	0	1	1	2	0	0	0
27,823	4	40BB	6	204	Das war eine unglaublich gleichgŸltige Reaktion von ihr.	2	27823	keine	0	keine	3,44	4	1,7	5,26	1,74	49	8	3,315789	0	0	0	1	1	2	0	0	0
35,863	4	40BB	7	308	### ###### ### ########## ### ##########	3	35863	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
42,904	4	40BB	8	146	Nach dem MissverstŠndnis war Irma jetzt in einer haarigen Situation.	1	42904	keine	0	keine	3,5	4,7	-1,7	5,32	3,58	59	10	5,894737	0	0	0	1	1	2	0	0	0
50,949	4	40BB	9	113	Der vorbestrafte Mann war diesmal sauber.	1	50949	keine	0	keine	2,83	5	1,8	4	4,63	36	6	6,052632	0	0	0	1	1	1	0	0	0
55,99	4	40BB	10	360	##### ###### ##### ##### ######### ### ###### #### #####	3	55990	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
62,032	4	40BB	11	212	Das Thema des Matheunterrichts ist schwierig.	2	62032	keine	0	keine	3	4,15	-0,3	4,05	1,95	40	6	5,315789	0	0	0	1	1	1	0	0	0
67,064	4	40BB	12	159	Linda war nervšs, aber die PrŠsentation lief absolut glatt.	1	67064	keine	0	keine	4,22	3,65	1,5	5,16	4,74	51	9	5,947368	1	0	0	0	1	1	0	0	0
73,104	4	40BB	13	334	#### ########### ############## ###### ### ##### ####	3	73104	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
81,138	4	40BB	14	249	Seine empfindliche Seele konnte den Streit nicht lŠnger aushalten.	2	81138	keine	0	keine	4,5	2,65	1,3	4,21	1,79	58	9	5,842105	0	0	0	0	1	1	0	1	0
86,179	4	40BB	15	257	Utes neue Kaffeemaschine hatte eine einfache Bedienung.	2	86179	keine	0	keine	3,89	4,7	0,6	5,16	2,21	49	7	4,736842	0	0	0	1	1	0	0	0	0
94,219	4	40BB	16	319	### ###### ####### ###### ##### ####### ########### ######	3	94219	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
105,259	6	40BB	17	401	Hast du eben Rautezeichen gesehen?	4	105259	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
